nro_factura,tipo,fecha_emision,fecha_vto,cliente,cuit,cond_iva,neto,iva21,total,estado,cae_simulado
0001-00000001,B,2026-07-02,2026-07-17,Librería Central 11,27414586850,Monotributo,147932.96,31065.92,178998.88,vencida,03965223955905
0001-00000002,B,2026-08-12,2026-08-27,Consumidor Final,20186999386,Consumidor Final,290292.27,60961.38,351253.65,pagada,78427010393087
0001-00000003,C,2026-08-18,2026-09-02,Librería Central 1,20098050097,Monotributo,407093.8,0.0,407093.8,pagada,25002921851569
0001-00000004,A,2026-07-14,2026-08-13,Oficina Norte SRL 7,30427868011,Responsable Inscripto,174849.54,36718.4,211567.94,vencida,67528953926442
0001-00000005,B,2026-08-29,2026-09-28,Almacén Don Pepe 12,20196556981,Monotributo,428363.34,89956.3,518319.64,pendiente,90295939172513
0001-00000006,B,2026-07-11,2026-07-26,Diego García,20162720465,Consumidor Final,325369.65,68327.63,393697.28,vencida,57043315410067
0001-00000007,B,2026-06-22,2026-07-22,Diego Martínez,20850671657,Consumidor Final,256679.36,53902.67,310582.03,pagada,86179327104054
0001-00000008,A,2026-06-10,2026-07-10,Oficina Norte SRL 7,30427868011,Responsable Inscripto,101650.5,21346.6,122997.1,pagada,18159970629620
0001-00000009,A,2026-07-13,2026-07-28,Oficina Norte SRL 7,30427868011,Responsable Inscripto,487711.24,102419.36,590130.6,pagada,88444310698720
0001-00000010,B,2026-06-01,2026-07-01,Ana Martínez,27417080531,Consumidor Final,62061.61,13032.94,75094.55,vencida,97310324171467
0001-00000011,B,2026-08-24,2026-09-23,Consumidor Final,20443135182,Consumidor Final,63745.7,13386.6,77132.3,pagada,25652704774349
0001-00000012,A,2026-06-20,2026-07-05,Comercio San Martín 4,20838425135,Responsable Inscripto,61139.51,12839.3,73978.81,pagada,86938068687937
0001-00000013,B,2026-07-21,2026-08-05,Ana Romero,20236231665,Monotributo,261008.71,54811.83,315820.54,vencida,99217223320616
0001-00000014,B,2026-08-16,2026-09-15,Kiosco El Faro 13,20883561595,Monotributo,173479.75,36430.75,209910.5,pendiente,11686854870998
0001-00000015,B,2026-06-15,2026-07-15,Diego Martínez,20850671657,Consumidor Final,91828.31,19283.95,111112.26,vencida,91191485646799
0001-00000016,B,2026-06-05,2026-06-20,Consumidor Final,20957885685,Consumidor Final,152198.79,31961.75,184160.54,pagada,96065307450544
0001-00000017,C,2026-08-29,2026-09-13,Diego Pérez,27278895798,Monotributo,486798.39,0.0,486798.39,pagada,47546913736785
0001-00000018,A,2026-08-05,2026-08-20,Comercio San Martín 4,20838425135,Responsable Inscripto,51496.14,10814.19,62310.33,vencida,62890233030705
0001-00000019,C,2026-07-18,2026-08-17,Kiosco El Faro 13,20883561595,Monotributo,262460.66,0.0,262460.66,vencida,10357972798552
0001-00000020,B,2026-07-07,2026-07-22,Martín Díaz,27763201632,Monotributo,205551.52,43165.82,248717.34,pagada,93333468007229
0001-00000021,B,2026-07-03,2026-08-02,Librería Central 1,20098050097,Monotributo,362115.43,76044.24,438159.67,vencida,46657437489691
0001-00000022,C,2026-08-11,2026-09-10,Librería Central 1,20098050097,Monotributo,163268.44,0.0,163268.44,pagada,15454443283096
0001-00000023,B,2026-08-27,2026-09-11,Juan Pérez,27909670546,Consumidor Final,366215.93,76905.35,443121.28,pendiente,44666099353875
0001-00000024,B,2026-07-09,2026-07-24,Consumidor Final,20749894134,Consumidor Final,423506.57,88936.38,512442.95,vencida,24172482513534
0001-00000025,B,2026-07-13,2026-08-12,Diego Martínez,20850671657,Consumidor Final,145068.43,30464.37,175532.8,pagada,17099917381684
0001-00000026,B,2026-06-07,2026-06-22,Diego Martínez,20850671657,Consumidor Final,85935.32,18046.42,103981.74,pagada,69725217525007
0001-00000027,B,2026-06-22,2026-07-07,Diego Pérez,27278895798,Monotributo,254997.0,53549.37,308546.37,vencida,12966667600835
0001-00000028,C,2026-08-07,2026-08-22,Librería Central 1,20098050097,Monotributo,28599.74,0.0,28599.74,pagada,33542168942104
