id_venta,fecha,cliente,cuit,codigo_producto,producto,cantidad,precio_unit,total,medio_pago,vendedor
1,2026-08-22,Kiosco El Faro 15,27369957773,SKU-1035,Escritorio 120cm Plus,5,26887.39,134436.95,Mercado Pago,Martín Pérez
2,2026-06-22,Comercio San Martín 4,20838425135,SKU-1005,Lapicera azul x12 Plus,10,27047.15,270471.5,Mercado Pago,Diego Torres
3,2026-08-28,María Pérez,27837770143,SKU-1008,Carpeta oficio Plus,10,46407.82,464078.2,Tarjeta,Camila Ruiz
4,2026-08-03,Consumidor Final,20094777520,SKU-1033,Silla ergonómica Eco,15,53038.94,795584.1,Efectivo,Lucía Gómez
5,2026-08-17,Juan Pérez,27909670546,SKU-1028,Bolsa consorcio x100,9,67295.65,605660.85,Efectivo,Lucía Gómez
6,2026-08-15,Consumidor Final,20186999386,SKU-1015,Tóner alternativo Eco,1,57307.26,57307.26,Mercado Pago,Lucía Gómez
7,2026-07-31,Almacén Don Pepe 12,20196556981,SKU-1049,Auricular vincha,17,2366.89,40237.13,Tarjeta,Camila Ruiz
8,2026-07-26,Consumidor Final,20964990913,SKU-1012,Cuaderno espiral Eco,16,22127.64,354042.24,Efectivo,Diego Torres
9,2026-07-13,Diego Martínez,20850671657,SKU-1023,Papel higiénico x30 Plus,11,45230.88,497539.68,Efectivo,Martín Pérez
10,2026-08-28,Diego Martínez,20850671657,SKU-1022,Papel higiénico x30,16,29114.81,465836.96,Mercado Pago,Diego Torres
11,2026-06-05,Consumidor Final,20167190229,SKU-1049,Auricular vincha,15,2366.89,35503.35,Efectivo,Camila Ruiz
12,2026-06-15,Juan Pérez,27909670546,SKU-1017,Lavandina 5L Plus,13,40043.2,520561.6,Efectivo,Diego Torres
13,2026-06-25,Comercio San Martín 4,20838425135,SKU-1027,Desinfectante 5L Eco,17,34335.27,583699.59,Mercado Pago,Diego Torres
14,2026-06-07,Juan Sánchez,20735454948,SKU-1041,Caja archivo Plus,7,39692.23,277845.61,Mercado Pago,Martín Pérez
15,2026-08-29,Juan Sánchez,20735454948,SKU-1019,Detergente 5L,16,28643.36,458293.76,Efectivo,Lucía Gómez
16,2026-07-01,Consumidor Final,20123281206,SKU-1041,Caja archivo Plus,6,39692.23,238153.38,Mercado Pago,Lucía Gómez
17,2026-06-12,Diego Martínez,20850671657,SKU-1036,Escritorio 120cm Eco,8,34173.48,273387.84,Efectivo,Diego Torres
18,2026-08-03,Tech Hogar SA 10,30607337543,SKU-1008,Carpeta oficio Plus,10,46407.82,464078.2,Mercado Pago,Diego Torres
19,2026-07-02,Consumidor Final,20957885685,SKU-1031,Silla ergonómica,15,58888.08,883321.2,Transferencia,Diego Torres
20,2026-08-05,Consumidor Final,20123281206,SKU-1013,Tóner alternativo,5,40660.23,203301.15,Efectivo,Camila Ruiz
21,2026-07-14,Diego Martínez,20850671657,SKU-1050,Webcam HD,17,31634.85,537792.45,Mercado Pago,Lucía Gómez
22,2026-08-15,Ana Romero,20236231665,SKU-1019,Detergente 5L,19,28643.36,544223.84,Tarjeta,Martín Pérez
23,2026-08-01,Consumidor Final,20094777520,SKU-1029,Bolsa consorcio x100 Plus,12,3969.97,47639.64,Mercado Pago,Diego Torres
24,2026-06-25,Juan Pérez,27909670546,SKU-1030,Bolsa consorcio x100 Eco,8,17061.86,136494.88,Tarjeta,Martín Pérez
25,2026-06-06,Diego Martínez,20850671657,SKU-1050,Webcam HD,11,31634.85,347983.35,Tarjeta,Diego Torres
26,2026-08-03,Tech Hogar SA 10,30607337543,SKU-1025,Desinfectante 5L,2,27847.61,55695.22,Transferencia,Camila Ruiz
27,2026-06-13,Juan Sánchez,20735454948,SKU-1007,Carpeta oficio,17,6837.13,116231.21,Tarjeta,Lucía Gómez
28,2026-07-23,Tech Hogar SA 10,30607337543,SKU-1047,Teclado USB,5,64085.61,320428.05,Efectivo,Diego Torres
29,2026-08-19,Diego Díaz,27346706562,SKU-1017,Lavandina 5L Plus,13,40043.2,520561.6,Efectivo,Camila Ruiz
30,2026-07-19,Consumidor Final,20094777520,SKU-1044,Calculadora Plus,11,13449.02,147939.22,Tarjeta,Lucía Gómez
31,2026-07-01,Almacén Don Pepe 5,30808412411,SKU-1040,Caja archivo,10,54022.2,540222.0,Transferencia,Lucía Gómez
32,2026-08-21,Oficina Norte SRL 7,30427868011,SKU-1028,Bolsa consorcio x100,4,67295.65,269182.6,Tarjeta,Martín Pérez
33,2026-06-04,Ana Romero,20236231665,SKU-1045,Calculadora Eco,2,33548.21,67096.42,Mercado Pago,Lucía Gómez
34,2026-07-18,Diego García,20162720465,SKU-1019,Detergente 5L,14,28643.36,401007.04,Transferencia,Martín Pérez
35,2026-08-12,Diego Martínez,20850671657,SKU-1034,Escritorio 120cm,6,27582.28,165493.68,Transferencia,Martín Pérez
36,2026-07-19,Consumidor Final,20034471349,SKU-1006,Lapicera azul x12 Eco,20,20114.5,402290.0,Transferencia,Diego Torres
37,2026-06-30,Tech Hogar SA 10,30607337543,SKU-1038,Cinta embalaje x6 Plus,15,5999.56,89993.4,Mercado Pago,Diego Torres
