id_venta,fecha,cliente,cuit,codigo_producto,producto,cantidad,precio_unit,total,medio_pago,vendedor
62,2026-06-17,Carlos Fernández,27134332003,SKU-1022,Papel higiénico x30,19,29114.81,553181.39,Transferencia,Lucía Gómez
155,2026-07-18,Oficina Norte SRL 8,30620450533,SKU-1018,Lavandina 5L Eco,14,16649.77,233096.78,Tarjeta,Diego Torres
147,2026-08-21,Tech Hogar SA 3,30435346247,SKU-1031,Silla ergonómica,13,58888.08,765545.04,Mercado Pago,Camila Ruiz
65,2026-07-03,Consumidor Final,20094777520,SKU-1009,Carpeta oficio Eco,6,20642.89,123857.34,Efectivo,Lucía Gómez
197,2026-08-16,Consumidor Final,20443135182,SKU-1019,Detergente 5L,16,"$ 28.643,36","$ 458.293,76",Mercado Pago,Lucía Gómez
182,2026-08-18,Ana Romero,20236231665,SKU-1041,Caja archivo Plus,18,39692.23,714460.14,Efectivo,Martín Pérez
145,2026-07-24,Consumidor Final,20186999386,SKU-1016,Lavandina 5L,6,22589.07,135534.42,Efectivo,Camila Ruiz
15,2026-08-29,Juan Sánchez,20735454948,SKU-1019,Detergente 5L,16,28643.36,458293.76,Efectivo,Lucía Gómez
47,2026-07-17,Consumidor Final,20094777520,SKU-1009,Carpeta oficio Eco,17,20642.89,350929.13,Mercado Pago,Martín Pérez
137,2026-06-29,Ana Martínez,27417080531,SKU-1006,Lapicera azul x12 Eco,1,20114.5,20114.5,Mercado Pago,Lucía Gómez
64,2026-08-16,Tech Hogar SA 10,30607337543,SKU-1022,Papel higiénico x30,1,"$ 29.114,81","$ 29.114,81",Mercado Pago,Martín Pérez
38,2026-07-30,Librería Central 1,20098050097,SKU-1017,Lavandina 5L Plus,10,40043.2,400432.0,Transferencia,Lucía Gómez
132,2026-06-18,Consumidor Final,20123281206,SKU-1013,Tóner alternativo,9,40660.23,365942.07,Efectivo,Diego Torres
50,2026-07-04,Librería Central 1,20098050097,SKU-1026,Desinfectante 5L Plus,18,47913.52,862443.36,Efectivo,Diego Torres
5,2026-08-17,Juan Pérez,27909670546,SKU-1028,Bolsa consorcio x100,9,67295.65,605660.85,Efectivo,Lucía Gómez
59,2026-08-27,Oficina Norte SRL 7,30-42786801-1,SKU-1024,Papel higiénico x30 Eco,12,51217.52,614610.24,Mercado Pago,Lucía Gómez
151,18-06-26,Almacén Don Pepe 12,20196556981,SKU-1041,Caja archivo Plus,3,"$ 39.692,23","$ 119.076,69",Tarjeta,Lucía Gómez
73,2026-08-10,Consumidor Final,20964990913,SKU-1040,Caja archivo,11,54022.2,594244.2,Tarjeta,Camila Ruiz
167,2026-08-23,Juan Pérez,27909670546,SKU-1026,Desinfectante 5L Plus,9,47913.52,431221.68,Transferencia,Lucía Gómez
128,2026-07-17,Diego Martínez,20850671657,SKU-1003,Resma A4 75g Eco,8,23331.55,186652.4,Tarjeta,Camila Ruiz
41,2026-08-13,Lucía García,20271937452,SKU-1016,Lavandina 5L,12,22589.07,271068.84,Mercado Pago,Camila Ruiz
